"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","25 Aug 2024","A great workplace with good culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW90393367.htm","Internship","Former intern, less than 1 year","Mumbai","Good exposure to leadership and conglomerates","there are not any cons","","",""
"2.0","16 Sept 2024","So much politics to get an on roll position","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW91040657.htm","Regulatory affairs manager","Former employee, less than 1 year","Gurgaon, Haryana","","","Work life balance and team mates","bad food , no growth , seniors won't give you an opportunity to learn and grow instead they don't need anyone's help","Show more"
"1.0","1 Aug 2024","Just Tata in name - worst experience in my career","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW89716300.htm","Manager","Former employee, more than 1 year","Mumbai","","","1.Brand of Tata.
2.Good health policy.
3.Good travel policy.","1. Immense micro management 
2. Forget personal life and space. Have to work late daily. Even after coming back to home.
3. Toxic boss culture.
4. No growth opportunity.
5. Extremely overloaded and underpaid.
6. Everything is your responsibility.
7. No realistic deadline. Everything is needed today.
8. Need to attend meetings even on leave days.
9. You will be said that you may leave if you want to or if this is not suitable for you. They do not care about employees or their wellbeing.
10. There will be backfire if you report any wrong doings","Show more"
"4.0","13 Sept 2024","Amazing Compnay for work and growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW91003724.htm","Brand manager","Former employee, more than 3 years","Mumbai","Good place to learn and grew","Competition is high growth slow","","",""
"5.0","25 Aug 2024","Great working at Tata Consumer Products","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW90393103.htm","Anonymous intern","Former intern, less than 1 year","","","","Very good work environment. All the employees are very supportive, encouraging and helpful. You get to learn a lot as an intern here. I would love to work here again. The company culture is very good.","Nothing as such. Great place to work.","Show more"
"2.0","6 Sept 2024","As a brand its good","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW90765448.htm","Territory sales executive","Current employee, more than 1 year","Lucknow","","","Good 
salary
Good company overall","Work pressure is very high","Show more"
"4.0","30 Aug 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW90566273.htm","Senior territory sales in charge","Current employee, more than 3 years","New Delhi","Good ethics and work culture","Lack of methodical approach and process orientation","","",""
"3.0","29 Aug 2024","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW90545590.htm","Territory sales executive","Current employee, more than 1 year","New Delhi","salary and incentives are good","working hours are not fixed","","",""
"5.0","12 Aug 2024","Not applicable right now for this review","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW90014885.htm","Director digital","Former employee, more than 1 year","Bengaluru","they respect the employee values and provides more space","Not applicable right now for this review","","",""
"5.0","14 Aug 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW90103698.htm","Consultant","Current employee","Bengaluru","Culture is really good here","Nothing as such that I consider as cons","","",""
"2.0","23 Jul 2024","Not positive environment to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW89405690.htm","Associate director of operations","Former employee, more than 1 year","Bengaluru","","","Brand name of Tata and its highly respectable founders and their values","Though brand is good, its the people with whom you work with makes all difference.","Show more"
"5.0","7 Aug 2024","Good Interview process and culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW89860977.htm","Manager","Current employee, less than 1 year","Mumbai","","","Smooth and transparent interview process
Good Culture","No cons as of now","Show more"
"5.0","17 Jul 2024","Great Place to Work!","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW89221803.htm","Intern, consumer insights","Former intern, less than 1 year","Andheri East","","","Clear job roles so you will always know what is exepcted of you.
The management makes you feel included regardless of your designation and inputs are welcomed and appreciated.","Office timings are quite traditional, but there are alternatives avaliable.","Show more"
"5.0","26 Jul 2024","Modern Trade","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW89515289.htm","Senior territory sales executive","Current employee, more than 3 years","Ahmedabad","Culture is good and upper management helps you to grow in career","Expenses are very low for TSEs","","",""
"5.0","2 Jul 2024","3 month experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW88765219.htm","Qa executive","Current employee, less than 1 year","Pāonta Sāhib","","","1. Manageable workload
2. Corporate policy
3. Work life balance","1. No extra circular activities from plant side, still following old rigid policy. 
2.Food and refreshment service not available.
3. Transportation service not available.","Show more"
"5.0","24 Jun 2024","A review on Tata Consumer Products","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW88518462.htm","Rnd packaging engineer","Current intern, less than 1 year","Bengaluru","","","Tata Consumer Products impresses with their commitment to quality, diverse product offerings, and excellent customer service. They continue to innovate while maintaining their core values, making them a preferred choice for discerning consumers.","No there is no as such cons that i found so far.","Show more"
"4.0","19 Jul 2024","Good workplace","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW89302244.htm","Quality assurance","Current contractor, more than 1 year","Hyderābād","Management is supportive and good working place to learn","I can say no cons","","",""
"5.0","17 Jul 2024","Great Job","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW89224551.htm","Anonymous employee","Current employee, more than 1 year","","Good Work Culture and great environment","Low business volumes hard to sustain","","",""
"5.0","30 Jun 2024","TATA Values with Startup Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW88725900.htm","Hr- consultant","Current contractor, more than 1 year","Mumbai","Great Space to be in. You actually get to implement things in real time","Fast paced work environment. Advancement of technology is required.","","",""
"5.0","10 Jul 2024",".","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Consumer-Products-RVW89005417.htm","Associate director","Current employee, more than 1 year","Bengaluru","Good company with growth opportunity","nothing all ok in company","","",""
