"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","2 Oct 2024","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Motors-RVW91553584.htm","Employee","Current employee, more than 8 years","Jaipur, Rajasthan","Ok ok ok ok ok ok","Why due to me to write cons?","Show more","",""
"4.0","15 Aug 2024","Internship experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Motors-RVW90139252.htm","Intern","Current intern","Pimpri, Maharashtra","Tata Motors is a standout in the automotive industry for its innovation, commitment to quality, and strong emphasis on sustainability. As one of India's largest and most respected automobile manufacturers, Tata Motors has made significant strides in electric vehicle technology, contributing to a greener future. Their vehicles are known for being robust, reliable, and affordable, catering to a wide range of customers. The company also has a global presence, with products that are well-regarded in international markets. Additionally, Tata Motors is part of the Tata Group, a conglomerate renowned for its ethical business practices and social responsibility, which adds to the brand's trustworthiness and appeal.","While Tata Motors has many strengths, there are some challenges it faces as well. For instance, the company has struggled with consistency in the quality and refinement of its vehicles, especially in the past. Some models have faced criticism for issues related to fit and finish, as well as the overall driving experience compared to competitors in certain segments. Additionally, despite making strides in electric vehicles, Tata Motors still has a long way to go to catch up with global leaders in terms of technology and infrastructure. The company also faces stiff competition in both domestic and international markets, which can make maintaining market share challenging.","Show more","",""
"1.0","30 Jul 2024","Toxic work culture. Join if willing to work as a labourer","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Motors-RVW89628373.htm","Senior manager","Former employee, less than 1 year","Pune","1. Employee policies 
2. On time payroll
3. Impressive campus","Joined after my MBA but made me work like I was holding an ITI certificate. Really not sure where to start and where to end this topic. 
1. Extremely toxic work culture, no corporate dignity. 
2. Being publicly abused was a everyday story
3. Absolutely zero work/life balance. If (work/life) was a fraction, the number would tend to infinity on a graph sheet
4. Be ready to work on all weekends. Alternate Saturday time off (on paper) is actually a myth in TML
5. No comp off's. Don't ask for one (else you'll circle back to Sl.No2)
6. Pathetic office infrastructure. Plastic chairs, chipped desks provided, that too on sharing basis
7. After completing evening shift they want you to report next morning at 0600hrs. Forced me couple of times to undergo the ordeal
8. Efficiency is a direct measurement of the hours you overstay
9. Please don't go by the company name, that's all that remains. 10.Policies and culture once the company once known for is no more

I could go on and on...but fortunately now I have better things to do in life","Show more","",""
"4.0","2 Oct 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Motors-RVW91558771.htm","Digital marketing manager","Former employee","Mumbai","","","","Nice work culture and ethics","Bureaucracy and complicated work culture"
"5.0","25 Sept 2024","Internship Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Motors-RVW91329931.htm","Project intern","Former intern","Pune","Got to learn a lot about the production work and the design of the Car","Due to the huge number of interns this year, it took a lot of time for the management to allot us under a particular division","Show more","",""
"4.0","25 Sept 2024","The place is good to work without targets and work pressure.","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Motors-RVW91366401.htm","Intern","Former intern, less than 1 year","Coimbatore","Good working condition in Tata Motors Tafe Access, Coimbatore.","Less paid compared to other dealers and no stipend for interns.","Show more","",""
"5.0","26 Sept 2024","Best working culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Motors-RVW91392661.htm","Internship","Former employee","Jamshedpur","","","","Worklife balance is a great practice","Not a flat hirearchy system"
"4.0","25 Sept 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Motors-RVW91347062.htm","Senior manager","Former employee, more than 3 years","Pune","","","","Culture, pay, recognition, work life balance","No such cons as of now"
"4.0","13 Sept 2024","Tata Motors Internship Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Motors-RVW90982343.htm","Summer intern","Former employee, less than 1 year","Pune","Learned alot about how Assembly Line Manufacturing works and Automotive Sectors work irl","Call to Action and Reaction towards the change is not fast","Show more","",""
"4.0","24 Sept 2024","More employee benefits","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Motors-RVW91309829.htm","Senior manager","Former employee, more than 1 year","Pune","Good work culture 
Good growth opportunities","No hybrid work culture

Nothing more","Show more","",""
"4.0","19 Sept 2024","Learned a lot from HR Internship at Tata Motors","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Motors-RVW91183003.htm","Human resources internship","Former intern, less than 1 year","Jamshedpur","- Supportive working environment 
- Training was provided from very basic level","- Practical exposure was not provided during the HR internship","Show more","",""
