"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","13 Sept 2024","Overall good","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW91002272.htm","Lead procurement","Current employee, more than 8 years","Tirunelveli","Good work culture and nice place to learn","No week off except sunday","","",""
"3.0","25 Sept 2024","Did not mention about the pay after performance policy before the hiring","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW91344412.htm","Graduate engineering trainee get","Former employee","Mumbai","","","In the case of experience at professional level, experience at tata power is valuable before switching into any other company","Low payment and human power shortage due to the same reason","Show more"
"3.0","26 Sept 2024","Tata Power","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW91376763.htm","Lead architect","Current employee, less than 1 year","Trombay","","","Good work Culture 
Polite and Supportive Staff","Very less increment
The is hierarchy in Post but GET are getting higher salary than Lateral Joinee","Show more"
"4.0","28 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW91434375.htm","Head of operations","Former employee, more than 10 years","Mumbai","","","Value based company. Legacy, Business Ethics","No work life balance
Partiality","Show more"
"3.0","24 Sept 2024","Just ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW91302081.htm","Lead engineer","Current employee, more than 1 year","Bhubaneshwar","Timely salary every month end","No growth, same salary even after years.","","",""
"3.0","20 Sept 2024","Medium","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW91211614.htm","Lead engineer","Current employee","Bhubaneshwar","Good environment to work here","Avg salary only you get","","",""
"4.0","17 Sept 2024","Good working culture & learning company","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW91076728.htm","Lead financial analyst","Former employee, more than 8 years","Mumbai","Good process oriented company & good working environment","slow growth & performance review","","",""
"3.0","16 Sept 2024","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW91053995.htm","Lead engineer","Current employee","","Good company for settling and retirement","Very slow growth. Not recommend for. Freshers","","",""
"4.0","2 Sept 2024","Good as per tata company on salary and performence","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW90627840.htm","Lead engineer","Current employee, more than 1 year","","job security perks culture less pressure","Low salart increment, too much responsibility on one employee, lack of organisational structure","","",""
"3.0","3 Sept 2024","Electricity distribution company","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW90672306.htm","Section incharge","Current employee, more than 1 year","Puri, Orissa","Nice company, to improve public dealing, Various on field learnings","Carrier growth is less,it should be improoved","","",""
"4.0","29 Aug 2024","Less Pay but good work","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW90534342.htm","Lead engineer","Former employee, more than 1 year","Mumbai","Good Projects. You will learn many things if you have the will.","Less Pay. Slow Growth according to market.","","",""
"5.0","30 Aug 2024","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW90575714.htm","Business analyst","Current employee, more than 1 year","Mumbai","","","Salary is not great but benefits is so high","Terms of technology is not good","Show more"
"4.0","11 Aug 2024","Great Oppurtunities to Learn. Lack luster monetary Benefits. Great Health policy","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89981224.htm","Lead engineer","Former employee, more than 1 year","Bengaluru","","","- Myriad of opportunities to learn and grow in the field - knowledge wise.
- Great Health policy
- Autonomy with the tasks given to you.","- Poor monetary benefits for the work especially for freshers.
- Growth up the corporate ladder is slow.","Show more"
"2.0","30 Aug 2024","average","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW90585651.htm","Procurement manager","Current employee, more than 5 years","Bhubaneshwar","","","Good work culture work life balance","Office politics ,less increment poor growth","Show more"
"1.0","29 Jul 2024","Managers are blood suckers will expect you to work 247 without any growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89586242.htm","Lead consultant","Former employee, more than 5 years","Mumbai","","","Nothing is good for employees, all are anti employee rules ,HR is good for nothing","If you are a contractor you will have no work and high salary employees are treated very poorly and contractors are kings
No growth even if you stay here for 5 plus years
Managers especially in IT except you to carry your laptop even to the toilets 247 job but no hike and no growth","Show more"
"2.0","25 Aug 2024","Okay not great","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW90405781.htm","Graduate engineering trainee get","Former employee, more than 1 year","Bengaluru","Good and encouraging manager, supportive","Not treated equally, not great pay, less hike","","",""
"5.0","22 Aug 2024","Eco System","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW90317938.htm","Head legal department","Current employee, more than 1 year","Sambalpur, Orissa","","","Brand Value & Salary on time","Taking time in Adjustment and frequently shifting issues","Show more"
"3.0","21 Aug 2024","Overall good","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW90308660.htm","Data scientist","Current employee, more than 1 year","Mumbai","","","Work life balance is good.
Perks of housing are there.","Learning chances in IT sector is very limited.","Show more"
"5.0","19 Aug 2024","Head Engineering","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW90208077.htm","Head engineering - lp","Current employee, more than 8 years","Bengaluru","Great company to work for Renewables specialist.","No cons as such. Industry offers many opportunities","","",""
"5.0","12 Aug 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW90013564.htm","Graduate engineer trainee","Current employee","Mundra, Gujarat","","","Good salary hike
Yearly performance pay
Work life balance","Remote location
Late Promotion
Poor Management","Show more"
"5.0","9 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89938008.htm","Electrical design engineer","Current employee","","Good working experience . Friendly management","Good working atmosphere , friendly management","","",""
"4.0","9 Aug 2024","Sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89940397.htm","Cse","Current employee, more than 1 year","Bangalore Rural","","","Good Company
Better work life balance
5 days working","Nothing such as of now","Show more"
"5.0","1 Aug 2024","Summer Intern","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89696866.htm","Summer intern","Current employee","Jamshedpur","Great Learning experience with a collaborative environment","None as such as of cons , as a fresher its a great opportunity to learn","","",""
"3.0","14 Jul 2024","Better benefits to the employee","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89130405.htm","Design engineer","Former employee, more than 1 year","Bangiriposi","","","Company is strict and gives good benefits to the employee,","Company is strict and gives good benefits to the employee but fails 
 in building the career opportunities, Employee union is the backbone for benefits,","Show more"
"4.0","4 Aug 2024","engineering","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89774094.htm","Lead engineer","Current employee, more than 1 year","Mumbai","working, support, teams, culture, communication","transparency, nothing, nothing, nothing, nothing","","",""
"3.0","29 Jul 2024","Decent company to work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89590814.htm","Lead associate manager","Current employee, more than 3 years","Mumbai","Brand Value, Team is good","No salary growth, career growth very slow","","",""
"3.0","26 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89529234.htm","Team lead","Current employee","","Timely salary is fine..work Culture in few departments is good","Bad HR culture and carreer growth","","",""
"5.0","28 Jul 2024","Marketing executive","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89562006.htm","Marketing","Current employee","Mumbai","","","Work-life balance
flexibility
job security","NA
NA
NA
NA
NA","Show more"
"4.0","18 Jul 2024","Good Work Life Balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89264594.htm","Lead engineer","Current employee, more than 1 year","Mumbai","Good work life balance at all time's","Less pay when compared to other companies","","",""
"5.0","17 Jul 2024","Positive place to grow","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89241175.htm","Talent acquisition specialist","Current employee, more than 1 year","Mumbai","Good corporate environment, professional people, huge learning, benefits.","Work from office, slow growth","","",""
"4.0","16 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89201010.htm","Team leader","Current employee, more than 3 years","Jeypore","Good organization learing knowledgeble new innovations","Performance of company need to improve","","",""
"4.0","13 Jul 2024","Positive work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89114313.htm","Lead associate finance","Current employee, more than 1 year","Bengaluru","Supportive management. Lot of learning and experience","The Overworking does not pay.","","",""
"5.0","10 Jul 2024","Very good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89008587.htm","Lead engineer","Current employee, more than 8 years","","Working Culture, Ethics, management, policies","There is no specific cons","","",""
"4.0","25 Jun 2024","It was a nice expirience for working Tata power","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW88566244.htm","Operations","Current employee, less than 1 year","New Delhi","Easy to commute to the office","Less salary work culture is not so good","","",""
"3.0","30 Jun 2024","Pay scale of Tata Power","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW88718003.htm","Team lead","Current employee, more than 3 years","Bhubaneshwar","Good work culture, Work life balance","HR policies, No growth, Poor remuneration","","",""
"3.0","12 Jun 2024","Work at Tata power solar","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW88190395.htm","Group head","Current employee, less than 1 year","Bangalore Rural","","","Job security good
Ethics good
Increment average
Promotion average","Work life balance in Maintenance department is poor
System should be strengthened","Show more"
"1.0","10 Jul 2024","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW89025162.htm","Lead engineer","Former employee","Mumbai","","","maybe job security but at other costs","1. Poor roles or menial jobs
2. Office politics
3. Not a new-age company, slow-paced culture, outdated culture and mindset at non-corporate departments.","Show more"
"5.0","25 Jun 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW88572915.htm","Lead engineer","Current employee","Bengaluru","Good Company to work, learning curve is great","Nothing as such, slow growth","","",""
"3.0","26 Jun 2024","Lead","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW88608799.htm","Lead engineer","Current employee, more than 5 years","Mumbai","Work life balance and medical benefits","Slow growth and office politics","","",""
"4.0","3 Jun 2024","Good company and culture. Salaries and processes may lag behind the current market.","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW87912201.htm","Lead engineer","Current employee, more than 3 years","Mumbai","","","The culture, and the people.","Slow processes. Increments may be lesser than the current market value. Old legacy company.","Show more"
"4.0","16 Jun 2024","Discom Civil Job","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW88292011.htm","Hod","Current employee","Sambalpur, Orissa","","","Work Life Balance in Tata Power","Less Promotion chance in stipulated time","Show more"
"5.0","12 Jun 2024","-","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW88191476.htm","Finance and accounts","Current employee","Mumbai","Culture, culture, culture, culture culture","Politics sometimes, politics politics politics","","",""
"1.0","29 Jun 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW88698068.htm","Lead engineer","Former employee","Navi Mumbai","Worst Organization for freshers to join.","Everything is cons if you dont like company politics, slow promotion, slow or null learning .","","",""
"2.0","30 May 2024","Work life balance is very bad","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW87789925.htm","Sap consultant","Current employee","Bengaluru","","","Scope of work, get to learn a lot","Work life balance is very bad
Office Culture is bad","Show more"
"4.0","27 May 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW87676559.htm","Manager","Former employee, more than 5 years","New Delhi","","","Work culture good, Holidays , peaceful life","Growth very slow , Perks very less","Show more"
"2.0","2 Jun 2024","Toxic","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW87856934.htm","Scrum master","Current employee, more than 3 years","Mumbai","Depends on the team and manager","No growth, everything, all false promises","","",""
"3.0","30 May 2024","Very good","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Power-RVW87794423.htm","Supervisor","Current employee, more than 5 years","Mayurbhanj","Good place to work in","Nothing to say about it","","",""
