"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","3 Aug 2024","Dispatch Planning - Logistics and Supply Chain","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW89753830.htm","Manager dispatch planning","Former employee, more than 3 years","Sahibābād","Continuous Learning
Great Company Perks
Opportunities to grow","Frequent Transfers to locations
Travelling might not suit everyone","Show more","",""
"5.0","23 Sept 2024","Best Company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW91261842.htm","Junior engineer","Former employee, more than 3 years","Jamshedpur","The best reason to work at Tata Steel is its strong commitment to employee development and ethical business practices. Tata Steel is renowned for offering diverse learning opportunities, leadership development programs, and career growth prospects. The company's focus on innovation, sustainability, and a people-first culture creates an environment where employees can thrive both personally and professionally. Furthermore, Tata Steel's legacy of social responsibility and its emphasis on work-life balance make it an attractive employer for individuals seeking both professional fulfillment and personal well-being.","Nothing as such till now","Show more","",""
"4.0","1 Oct 2024","Hhsjsjsjsosb hejsososksns","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW91512241.htm","Senior software engineer","Former employee","Indore","","","","Good role with good benefits","Nothing . Over all good"
"5.0","28 Sept 2024","Standard of TATA group","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW91434439.htm","Senior manager - safety","Current employee, more than 1 year","Kharagpur, West Bengal","Standard Management
Centralised Administration
Good Perks","Procurement failure
Location is not friendly","Show more","",""
"5.0","24 Sept 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW91325616.htm","Anonymous employee","Current employee, more than 5 years","","","","","Very good to work. Excellent environment","Little Slow on innovation which are good on some department but not on all"
"5.0","23 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW91266382.htm","Junier engineer","Current employee, less than 1 year","Jājpur","Working environment, culture and safety","general shift jobs not carried out in shift. You have to finish the job you started.","Show more","",""
"3.0","4 Sept 2024","Company to retire without pay hike","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW90725062.htm","Sr area sales manager","Former employee, more than 10 years","New Delhi","1. Great place to retire without expecting much pay hikes over current level.
2. Good processes
3. Secure job, cannot be fired for 2 years due to policies.","1. Limited growth opportunity due to internal politics.
2. Unmotivated support functions make processes long and delayed.
3. Lack of agility causes customer dissatisfaction regularly.","Show more","",""
"5.0","16 Sept 2024","Yes","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW91069180.htm","Machanical engineer","Current employee, more than 5 years","Calcutta","Because of the growth of opportunity and advancement","Beautiful company and Beautiful placement and india is largest company and paper work and safety first and love you company","Show more","",""
"1.0","19 Jun 2024","Not suitable for freshers.","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW88397974.htm","Manager mechanical maintenance","Former employee, more than 1 year","Ghaziabad","TEHP (Tata Executive Holiday Plan: employees can stay at lavish hotels (even international destinations are included) for a few nights/ year (nights allocated as per designation) by paying only 15% of the charge.","Relatable if in the maintenance/ operations department:
1. No work-life balance at all. (Have to be involved with the shopfloor activities 24x7)
2. Obsolete technology, and no learning to prepare for the future
3. Lots of politics (very stressful and frustrating environment maintained)
4. Most locations are remote at TSL
5. No software used, I only used Excel for 2 1/2 years.
6. Senior management is extremely poor and unprofessional. Most of them make others do all their work and even write emails for them.

Personal experience:
I joined TSL from campus placement as a management trainee and then transitioned into Manager mechanical maintenance after 1 year. After almost 3 years of work experience, I have not learned much at all, and I am completely unprepared to work with any progressive technology. The entire industry is obsolete and to make matters worse, there is a lot of politics and unprofessionalism in the organization. Many more negatives, but in short I will never recommend anyone to start their career in this organization.","Show more","",""
"5.0","7 Jun 2024","""Tata Steel's Commitment to Innovation: Launches New High-Strength Steel Product Line""","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW88031140.htm","Testing engineer","Current employee","","Tata Steel offers numerous benefits for employees, including competitive salaries, comprehensive health benefits, and robust retirement plans. The company emphasizes professional growth through training programs, career development opportunities, and global exposure. Employees enjoy a supportive work environment that values diversity and inclusivity. Tata Steel's strong commitment to corporate social responsibility fosters a sense of pride and purpose. The company also offers various wellness programs, ensuring a healthy work-life balance. With its focus on innovation and sustainability, Tata Steel provides a dynamic workplace where employees can contribute to impactful projects and be part of an industry leader.","Working at Tata Steel can have its drawbacks. Employees may face challenges such as long working hours and high-pressure environments, especially during project deadlines. There can be limited work-life balance due to demanding schedules. Additionally, career progression might be slow, with rigid hierarchical structures sometimes hindering swift promotions. The large organizational size can lead to bureaucratic red tape, making decision-making processes slower. Lastly, despite efforts to modernize, some traditional practices may persist, affecting the agility and adaptability of employees in a rapidly changing industry.","Show more","",""
"5.0","15 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW91027838.htm","Account executive","Former employee, more than 1 year","Jamshedpur","Good pay and good bonus benefits","Working for long hours and during quarter end","Show more","",""
"3.0","12 Sept 2024","30k per month till a year. After completion of training, the ctc will be 7lpa","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW90968812.htm","Graduate trainee","Current employee, less than 1 year","Jamshedpur","","","","- The facilities during training are pretty good","- scope of learning is less"
"4.0","14 Sept 2024","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW91020827.htm","Deputy manager","Former employee, more than 1 year","New Delhi","Brand value is good 
Market capture is vast","Low salary increments 
You have to on toes for SCM","Show more","",""
"1.0","14 Jun 2024","TATA steel is not a good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW88264914.htm","Anonymous employee","Former employee","Jamshedpur","It's better to join TATA rather than getting unemployed","Pay structure is extremely less and it's not as per reputed company standards for mainly outsourced employee","Show more","",""
"5.0","16 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW91058847.htm","Marketing manager","Former employee, more than 1 year","Calcutta","Good work life balance
Culture","Laid-back working style
Slow growth","Show more","",""
"5.0","14 Sept 2024","Tata Steel Senior Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW91012410.htm","Department head","Current employee","Jamshedpur","Competitive package
Good perks and benefits","Number of Holidays limited
High work pressure","Show more","",""
"4.0","14 Sept 2024","Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW91018412.htm","Manager","Former employee","Jamshedpur","Bestplace for women to work","Routine is a bit mundane","Show more","",""
"1.0","4 Sept 2024","Poor Management and Politics","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW90711521.htm","Senior manager","Current employee, more than 8 years","Jamshedpur","Pros about the department is that it has potential to serve other departments very efficiently but it is hardly the case.","Illogical Chief of the department. Talk unethical jokes. Keeps employees busy in his appreciation. Think like he owns all the man power. Totally different from other departments of Tata Steel","Show more","",""
"4.0","12 Sept 2024","Working environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW90946668.htm","Junior engineer","Current employee","Jamshedpur","","","","Better than many other institutions","Salary growth per annum is not at higher rates"
"5.0","4 Sept 2024","Work at tata steel limited","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW90702956.htm","Manager, equipment maintenance","Current employee, more than 3 years","Kendujhar","Good work life balance and good pay","Posting in remote locations can be a problem for some","Show more","",""
"4.0","10 Sept 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Tata-Steel-RVW90873321.htm","Researcher","Current employee","Jamshedpur","","","","Great at Research and Development","Commute to location is tricky"
