"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","29 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Titan-Company-RVW91450601.htm","Deputy manager","Current employee","Hosūr, Tamil Nadu","1. Ethical Company
2. 100% secure job","1. Work life balance
2. Less exposure","Show more","",""
"4.0","30 Sept 2024","Utilized SAS, SPSS, and SAP to analyze sales data and identify trends","https://www.glassdoor.co.in/Reviews/Employee-Review-Titan-Company-RVW91467673.htm","Sales analyst","Former employee","Bengaluru","Good work culture 
Pay is good","High Competition
Customer Expectations
Supply Chain Disruptions","Show more","",""
"3.0","1 Oct 2024","Bad","https://www.glassdoor.co.in/Reviews/Employee-Review-Titan-Company-RVW91515895.htm","Asm (area sales manager)","Former employee","","","","","Good team environment and atmos","Bad hr and communication to employees"
"4.0","23 Sept 2024","Overall good culture but poor work quality","https://www.glassdoor.co.in/Reviews/Employee-Review-Titan-Company-RVW91252876.htm","Manager","Former employee","","- Balanced w
- Management listens to your problems
- Switching between roles is not that tough","- Poor work quality
- Micromanagement
- Not recognizing the potential of employees
- Highly political work culture","Show more","",""
"3.0","24 Sept 2024","Titan","https://www.glassdoor.co.in/Reviews/Employee-Review-Titan-Company-RVW91289328.htm","Senior engineer","Current employee, more than 3 years","Hosūr, Tamil Nadu","Good work life balance and Good food","No flexibility, Saturday working, No WFH, Low salary, Low growth","Show more","",""
"4.0","25 Sept 2024","Internship","https://www.glassdoor.co.in/Reviews/Employee-Review-Titan-Company-RVW91331736.htm","Intern","Former intern, less than 1 year","Bengaluru","","","","Good company to work, work life balance","Politics is their, they prefer only Tamil peoples. ."
"3.0","23 Sept 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Titan-Company-RVW91285658.htm","Designer","Former intern, less than 1 year","Bengaluru","","","","It is a good environment","No work from home is given"
"4.0","17 Sept 2024","It was great to work there at titan","https://www.glassdoor.co.in/Reviews/Employee-Review-Titan-Company-RVW91091677.htm","Management trainee","Current intern, less than 1 year","Calcutta","Lots n lots of hospitality and open ended discussions with senior management","didn't recognised efforts much in place","Show more","",""
"4.0","16 Sept 2024","Work life balance but lower salary compared to market","https://www.glassdoor.co.in/Reviews/Employee-Review-Titan-Company-RVW91074194.htm","Ecommerce associate","Former employee, more than 5 years","Bengaluru","Good work environment and work life balance","Low salary as compared to market
MBAs and technical guys are not treated as same","Show more","",""
"4.0","21 Sept 2024","Good Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Titan-Company-RVW91212437.htm","Human resources","Current employee, more than 1 year","Bengaluru","Work-Life Balance 
Flexibility
Exposure
Open Communication","Recognition 
Rooted Culture
Compensation
Agility","Show more","",""
