"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","24 Sept 2024","best workplace","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW91288199.htm","Manager","Current employee, more than 3 years","Ahmedabad","best corporate to work with. Set SOP and policies for employee. very good work life balance","nothing negative about the company"
"2.0","18 Sept 2024","Working at torrent pharma","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW91129635.htm","Executives","Former employee, more than 3 years","Dahej","You have secure job and good learning experience.","Salary was below par compared to others."
"4.0","9 Sept 2024","One of the best Pharma company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW90849655.htm","Product executive","Former employee","Ahmedabad","Its an employee oriented company, and always look after them.","Salary comparatively is bit less with the perks given."
"4.0","10 Sept 2024","Good company values","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW90879134.htm","Product manager","Former employee, more than 1 year","Ahmedabad","Good company values, good place to start a career","Lack of younger group of people, need more young minds"
"5.0","27 Aug 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW90465696.htm","Junior executive scientist","Former employee","Gāndhīnagar, Gujarat","The colleagues you get at torrent are so good.. that you learn, you work and grow together","Salary is less...but same situation across industry."
"1.0","13 Sept 2024","Too Much politics","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW90983349.htm","Senior medical representative","Current employee, more than 5 years","Guwahati","",""
"4.0","15 Aug 2024","Good Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW90113439.htm","Medical representative","Current employee, more than 3 years","Surat City","",""
"5.0","22 Aug 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW90313961.htm","Medical representative","Former employee","Patna, Bihar","Good company for employee good environment for employee","I don't have cons about this company"
"3.0","7 Aug 2024","Torrent pharmaceuticals","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW89875628.htm","Scientist","Former employee, more than 1 year","Gāndhīnagar, Gujarat","Work and work environment is good","Low salary and low increment"
"5.0","8 Jul 2024","MNC at mehsana location","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW88956302.htm","Production executive","Former employee, more than 1 year","Indrad","",""
