"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","29 Sept 2024","Amazing job","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW91463943.htm","Ttsm (territory technical services manager)","Former employee, more than 5 years","Jalandhar, Punjab","Company provides you training and then supports you at each point, aim for success","Nothing bad about the company","","",""
"2.0","3 Sept 2024","UltraTech is a place for those who wants to retire at one place living comfortable life","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW90686843.htm","Assistant manager","Current employee, more than 3 years","Mumbai","","","Work Security 
Good Compensation
(Can't think of any other pros)","As I mentioned above work security is a major pros of this company, but it is somehow impacting various things at here. People are at their comfort zone, they have developed the status quo and are hardly open to any change. Young employees are struggling to find a meaningful role in the organization. Employees are spending 15-20 years in one role, then how will the doors open for young employees? They just have to do back-office work and MIS work, that's how things are. 
Also, technology adoption is very minimal, there is hardly any opportunity to learn new software and tools, as we are supposed to do everything manually, and because of that every day everyone is doing repetitive tasks day in and day out.","Show more"
"5.0","27 Sept 2024","Pros/Cons Of Internship at Unit: Baga Cement Works","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW91431068.htm","Intern","Former intern, less than 1 year","Shimla, Himachal Pradesh","","","I got the opportunity to learn from experts and gained hands-on experience with live projects. Mentors were helpful and guided me wherever I needed them. As an intern, I learned a lot from the internship and made some life-long connections. 
Facilities- Meals, Transportation, Hospital and accommodation.

Thanking you
Unit- Baga Cement Works
(UltraTech Cements)","As such I didn't face any problems and got all the facilities as needed.
Important Note- Be ready to walk on slopes and work under the sun but the weather is always good.","Show more"
"4.0","2 Oct 2024",".","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW91556768.htm","Lab assistant","Current employee","Andheri East","Internal Switching is Available to Change Work department.","Of Role to On Role takes Time","","",""
"2.0","20 Sept 2024","Work life unbalance, less opportunity","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW91196071.htm","Plant quality manager","Former employee, more than 1 year","Raipur, Chhattisgarh","","","Very good as organization, all corporate facilities to the employees.","Regional level bosses are very bad they work as gvt employees. Opportunity only for special people not for working people.","Show more"
"5.0","24 Sept 2024","Friendly Environment to work in","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW91303477.htm","Product development","Former intern, less than 1 year","Mumbai","Very nice company to work in","There are no cons I faced in my 1 month of internship","","",""
"3.0","22 Sept 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW91247669.htm","Human resources","Current employee, less than 1 year","Tādepalle","","","Women empowerment at its best","Routine work that can feel unproductive","Show more"
"4.0","14 Sept 2024","Mechanical Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW91007346.htm","Section head","Former employee, more than 10 years","Sonbhadra","","","Job Security,Family welfare,Medical Facility,Yearly Increment and Bonus","Work life management.24x7 if not on leave.Promotion not per knowledge but closeness to senior's","Show more"
"4.0","17 Sept 2024","It's a good company","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW91109360.htm","Sr. sales officer","Current employee","","Good TA DA policy, work culture depend upon us.","You have to wait alot for the next role (promotion) less chances","","",""
"3.0","14 Sept 2024","Long work hours, unfair package","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW91020514.htm","Management trainee","Current intern, less than 1 year","","","","A lot of exposure for engineers.","No enthusiasm in employees
Very high attrition rate","Show more"
"4.0","12 Sept 2024","not a supply chai","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW90946782.htm","Officer supply chain","Current employee, more than 1 year","","good salary and employee benefits","only dispatch work is done not supply chain","","",""
"5.0","13 Sept 2024","Very good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW90984650.htm","Lead security officer","Current employee, more than 3 years","Nāthdwāra","Job security, good salary and benefits","There is nothing to say","","",""
"5.0","31 Aug 2024","Good place to work at","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW90599608.htm","Intern","Former intern, less than 1 year","Rawān","","","Good work environment, friendly colleagues and you get a chance to showcase your talents through some extra-curricular activities during events and programmes.","Being a cement industry, smoke and dust are the part and parcel of your life","Show more"
"5.0","11 Sept 2024","Title","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW90914142.htm","Senior engineer","Current employee, less than 1 year","Rewa, Madhya Pradesh","","","Well good atmosphere and gaining knowledge","Have to give more and more training","Show more"
"5.0","10 Sept 2024","Best company","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW90886881.htm","Sales executive","Current employee, more than 8 years","Mumbai","","","Good planning to contribute daily","All positive viles only every where","Show more"
"5.0","4 Sept 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW90701796.htm","Team lead","Current employee, more than 1 year","Mumbai","Good and supportive top leadership","Very slow in decision making. Too beaureucratic","","",""
"4.0","27 Aug 2024","Decent organization with average work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW90464235.htm","Assistant general manager","Current employee","Mumbai","Good work life balance and top management","For people who want to create an impact, the organization is too bureaucratic and heirarchical","","",""
"1.0","12 Sept 2024","bad","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW90959195.htm","Product manager","Former employee, less than 1 year","Mumbai","worse company won't recommend to work","good company to work for it.","","",""
"4.0","16 Jul 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW89195721.htm","Agm","Current employee, more than 10 years","Calcutta","","","Good learning due to diverse operation and high volume, brand name in market to improve your status, all India location availability to stand and to be posted in your prefered location
Highly experienced seniors to guide you","Too much politics
No scope for talent only oiling buttering
Useless HR department
Company is good.. But people at several position is so low graded only to promote their referrals not the talent.","Show more"
"5.0","18 Aug 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW90192208.htm","Plant manager","Current employee, less than 1 year","Calcutta","","","Salary on time
Good HR policies","Slow growth and less increment","Show more"
"4.0","10 Aug 2024","Good company in cement industry","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW89970517.htm","Channel relationships manager","Current employee, more than 1 year","Solan","","","Good brand value, Service and quality","Apparaisals are not as per industry standards and promotions are very slow","Show more"
"5.0","15 Aug 2024","Good organisationq","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW90112050.htm","Agm- sales","Current employee, more than 10 years","Surat","","","good, transparent, value driven, Brand","nothing , grest place to work","Show more"
"5.0","8 Aug 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW89904807.htm","Junior officer (technical support)","Current employee, more than 3 years","Indore","","","Salary on time on last day of month","No work life balance in RMC","Show more"
"4.0","4 Aug 2024","Good company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW89784463.htm","Territory sales officer","Current employee","","","","Job security and work life balance","Incentives are not there sometimes daily allownces not cateored","Show more"
"3.0","31 Jul 2024","Lot to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW89683264.htm","Assistant manager","Current employee, less than 1 year","Kotputli","","","Good policies to satisfy your needs","Office politics burns your aptitude to work","Show more"
