"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","12 Sept 2024","GOOD MNC COMPANY","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW90972233.htm","Sr. customer executive","Current employee, more than 3 years","Mohali, Punjab","A Bundle of Knowledge and you grow fast as other company","Higher Management changes regularly again and again","","",""
"5.0","21 Sept 2024","Good company for stable career","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW91214242.htm","Sales hrbp","Current employee, more than 3 years","Guwahati","","","Working culture is good, ease of doing work, motivated team members and Managers, flexibility at work, no micro management, salary on time, overall better annual salary hike.","Most of the works happen manually and lack of tracking mechanism in all the domains. Consumes lot of time in executional work due to less number of dedicated manpower.","Show more"
"4.0","19 Sept 2024","Amazing Exposure","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW91168791.htm","Internship","Former intern","Chennai","Improves your coordination skills and easy to grow environment","Nothing specific . It was very generic corporate office","","",""
"3.0","13 Aug 2024","Highly Unprofessional, No job Security","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW90035315.htm","Asm (area sales manager)","Current employee, more than 1 year","Sahibzada Ajit Singh Nagar","","","Good Incentives, timely Salary and Expenses.","Job security is zero. They can put you on PIP on your 2nd month of joining as well. They hire aggressively in off season and attrition rate is also as high as 45% specially in punjab.","Show more"
"3.0","30 Aug 2024","FMCG","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW90587429.htm","Marketing","Current employee, more than 5 years","Chennai","","","Good Place to work ,People Friendly .","Basic work pressure will be there .","Show more"
"1.0","13 Sept 2024","Worst Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW90986544.htm","Asm (area sales manager)","Current employee, more than 8 years","Bangalore Rural","Nothing Nothing Nothing Nothing Nothing","Everything Everything Everything Everything Everything","","",""
"5.0","18 Aug 2024","Nice company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW90192255.htm","Business development executive","Former employee","Mumbai","Good work culture in company","Not anything but if package increase as per market standards then employee will be loyal to company","","",""
"5.0","18 Aug 2024","Company has very good policies","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW90191086.htm","Quality checker","Current employee","Pune","","","Company provides me good salary.","There is work load in company.","Show more"
"3.0","31 Jul 2024","Completely Different than expected.","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW89684901.htm","Customer executive","Current employee, less than 1 year","Bāzpur","","","You get to know about market at depth. Pay is good.","Management is only for the sake of it. Reality of field is different than what is on papers.","Show more"
"5.0","12 Aug 2024","Good working culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW90006990.htm","Sales","Current intern, less than 1 year","Gurgaon, Haryana","","","There are so many pros good","There is no cons excellent","Show more"
"5.0","20 Aug 2024","Dont","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW90272995.htm","Software engineer","Current employee","Bengaluru","","","Dontknow
Dontknow
Dontknow
Dontknow
Dontknow
Dontknow","DontknowYet
Dontknow
Dontknow
Dontknow
Dontknow
Dontknow","Show more"
"1.0","6 Aug 2024","Area Sales Manager VBL","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW89826344.htm","Asm (area sales manager)","Current employee, less than 1 year","Haryāna","","","Brand they are bottling and distributing is global so there is good brand recognition, One should only chose VBL if they are getting to work in their CORE business.","Too much sycophancy culture. No benefits for diversity candidate.
All functions are decentralized like HR,DMS,MIS which plays negative role for the company.","Show more"
"4.0","29 Jul 2024","Good place to work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Varun-Beverages-RVW89580735.htm","Sales associate","Former employee, more than 3 years","New Delhi","","","Great perks, understanding management, decent work-life balance","More needs to be done on up-skilling employees","Show more"
