review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5,06-Sep-24,good eperice,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW90775474.htm,Jr. developer,Current employee,Mumbai,very good classdoor comapnty is best,nothing con all good very good,,,
3,23-Sep-24,work experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW91254328.htm,Assistant manager,"Former employee, more than 5 years",Jharsuguda,"good township, facilities are good",work culture should be improved,,,
4,12-Sep-24,Company Secretarial,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW90943404.htm,Assistant manager,"Current employee, more than 1 year",,,,"1. Good Salary
2. Good working environment and supporting colleges",1. Less exposure as the company is unlisted and mainly routine compliances are there.,Show more
1,22-Sep-24,culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW91238769.htm,Asst mgr,"Current employee, more than 1 year",Indore,no culture is present here,no system is present here,,,
3,21-Aug-24,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW90283355.htm,Head mining,"Current employee, more than 3 years",Bengaluru,,,"Good Salary is provided 
Seniors are supportive","No extra perks
Not good facilities
Extra working hours",Show more
3,21-Aug-24,Employee friendly organisation,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW90276177.htm,Deputy manager m&a,"Current employee, more than 1 year",New Delhi,Good organization to start for freshers,Slow increments and salary growth.,,,
3,16-Aug-24,Associate Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW90144901.htm,Associate manager,Current employee,Chitradurga,Salary package compensation and benefits,Location and Work culture are the cons,,,
4,29-Jul-24,Good location and culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW89593669.htm,Assistant manager,"Former employee, more than 8 years",Lanjigarh,Good one for fresher and new joiner,Bad one for long serving employees,,,
3,25-Jul-24,Good company with poor management,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW89500510.htm,Senior mining engineer,"Former employee, more than 1 year","Bīkāner, Rajasthan",decent money but no life,No surity of getting out alive,,,
1,11-Jul-24,Worst work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW89077436.htm,Assistant manager,"Current employee, more than 1 year",Lanjigarh,,,They provide only accommodation but this is also not good.,"No transport facilities.
No work life balance.
Worst work culture.
Local people dominate people from outside.
Not safe for girls as those who are in process have to do the night shift without any security.",Show more
3,06-Jul-24,Good hardworking field job,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW88906348.htm,Assistant manager,Current employee,Bicholim,,,"Easy job to manage 
Time goes by
Some learnings","Dust 
Risk of life
Work pressure of everyone's life
Extended working hours
No recognition",Show more
4,05-Jul-24,Nice place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW88888274.htm,Associate manager,Current employee,Bhubaneshwar,,,"Good learning opportunities 
Top management is easily approachable",Work life balance sometimes takes a bit.,Show more
3,08-Jul-24,Experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW88959785.htm,Assistant manager,"Former employee, more than 5 years",Jharsuguda,"Good township, can gain field experience","Workload is more, poor training",,,
3,03-Jul-24,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW88821458.htm,Senior hr,Former employee,North Goa,Nice company to work at as a fresher,Too much work pressure during audit time,,,
5,26-Jun-24,Nice work environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW88600346.htm,Financial reporting analyst,"Current employee, more than 1 year",Korba,Different opportunities and diversifird portfolio,Work culture in BALCO depends on the Manager,,,
4,18-Jun-24,.,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW88362615.htm,Head fp&a,"Current employee, more than 5 years",Silvassa,Good opportunity for growth & learning,Work life balance takes a hit + 6 days working,,,
1,28-Jun-24,Worst Politics,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW88679805.htm,Associate manager,"Current employee, more than 3 years",,,,Competitive salary and nothing else other than that. You won't be valued for your work specially at Sesa Goa,"Full Politics
HR is very cunning and diplomatic
No future",Show more
4,21-May-24,Great company,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW87487278.htm,Manager,"Former employee, more than 1 year",Bokāro,,,Employees are empowered to take decisions.,Work life balance is not the best,Show more
2,27-May-24,Salary and work life balance,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW87663269.htm,Logistics manager,"Current employee, more than 5 years",Lanjigarh,,,"Good salary, good exposure to work","Location 
Job security 
Job rotation 
Bad rating",Show more
4,22-May-24,Good Company to work for,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW87520638.htm,Associate officer,"Current employee, more than 3 years",Bokāro,,,"1. Good salary
2. Growth opportunities","1. Remote location
2. Response from HR",Show more
5,19-May-24,Great,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW87421559.htm,Associate manager human resources,"Current employee, more than 1 year",Barbil,,,Great remuneration and approachability on seniors,Location constraint due to mining.,Show more
1,19-Jun-24,Bad,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW88411755.htm,Senior engineer,"Current employee, more than 1 year",Bokāro,None none none none none,Everything from top to the bottom,,,
4,21-May-24,ok,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW87482564.htm,Chief marketing officer (cmo),"Former employee, more than 8 years",Mumbai,"Growth Opportunity,Good Salary ,Great Exposure","Toxic work culture , Politics ,",,,
4,20-May-24,Vedanta,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW87440707.htm,Head of operations,"Former employee, more than 10 years",New Delhi,Good learning oppurtunity at vedanta,Extremely taxing work schedule at vedanta,,,
4,15-May-24,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW87308114.htm,Assistant manager,Current employee,Bokāro,Good environment but shift works,Shift duty and 6 days week,,,
2,07-May-24,Toxic Workplace,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW87031425.htm,Dy manager,"Current employee, more than 3 years","Gurgaon, Haryana",,,Good pay scale and benefits,"Worst management and leadership
No transparency
No growth opportunities",Show more
4,30-Apr-24,Best work place,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW86846722.htm,Deputy manager,Current employee,Bokāro,Sustainability of Health safety and environment culture,Skill and experience work focus to be increased,,,
4,09-Apr-24,Nice company,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW86169901.htm,Operations and logistics manager,Current employee,,,,As a fresher you get lots of exposer to many fields of work.,as a fresher workload will be there from day one. You need to look it in a positive way.,Show more
5,22-Apr-24,Will have opportunities to learn and Explore,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW86571365.htm,Process operator,Current employee,,Good work culture Team support,Salary is bit low comparison of work,,,
4,21-Apr-24,one of the Great place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW86541816.htm,Scm engineer,Former employee,Kendujhar,one of the Great place to work,Pollution is the major concern,,,
3,03-Apr-24,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW85982087.htm,Associate manager,"Current employee, more than 8 years",Chitradurga,,,Sometime flexibility and opportunity was good,Rating system and performance review system is not that much.,Show more
4,21-Mar-24,Vedanta Ltd (Cairn Oil & Gas Division) Related,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW85591947.htm,Supply base manager,Former employee,,"Vedanta Ltd (Cairn Oil & Gas), is a very Good Company with high safety culture.",Career Growth Opportunities are less in Cairn Oil & Gas Division of Vedanta Ltd.,,,
5,02-Apr-24,V.good,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW85910650.htm,Sr.process associate,"Current employee, more than 8 years",Jharsuguda,,,All ok . Best company. Lovely,Work culture is not good,Show more
3,02-Apr-24,Mining engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW85907424.htm,Assistant manager,Current employee,"Udaipur, Rajasthan",Good salary at initial level,No work life balance at Vedanta,,,
4,26-Mar-24,Job experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW85724808.htm,Lead commercial manager,Former employee,Mumbai,,,"Instant Growth, Innovative work culture,",No work-life balance hectic hours,Show more
3,20-Mar-24,vedanta,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW85515574.htm,Associate manager,"Former employee, more than 1 year",New Delhi,"good opportunities and exposure, counted as great experience","toxic culture, less salary at start",,,
4,11-Mar-24,Vedanta limited resources,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW85230147.htm,Mining engineer,Current employee,Goas,Great to work in goa,Timings have become the issue so no work life balance,,,
4,25-Feb-24,Vedanta pros and cons,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW84720232.htm,Assistant manager,"Former employee, less than 1 year",Jharsuguda,Salary wise vedanta is very good and township is also beautiful,They gave me a department which is not related to my branch,,,
2,12-Jun-23,Poor experience at Vedanta,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW77316362.htm,Hr business analyst,Current employee,,,,The colleagues are very supportive High stakes responsibility given from an early stage Above average compensation,"6 days working Poor work life balance - Extra working hours with no overtime Toxic culture, especially from senior level management Very little guidance regarding work and projects - Most mid level employees and managers are grossly overworked Lots of manual and transactional work instead of strategic Culture of no trust in employees - Excessive and frequent amount of top level reviews. Most of our time goes into preparing material for these reviews",Show more
5,15-Feb-24,Its very good,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW84404535.htm,Assistant manager,Current employee,Bokāro,It's very good company for freshers and experienced both.,Canteen system is bad and kra system is worst.,,,
5,15-Feb-24,Company review,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW84424377.htm,Geophysicist,"Current employee, more than 10 years","Gurgaon, Haryana","Good learning opportunity, good environment, very good compensetion","People attrition, less working resources",,,
5,14-Jan-24,Its a best place to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW83358054.htm,Office manager,Current employee,,,,It's a best place to work. We get regular training to enhance our skills.,It's a mining company. And since mining is closed from 2012 there is severe effect on our growth and remuneration.,Show more
2,16-Jan-24,overall,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW83434248.htm,Deputy manager,"Current employee, more than 1 year",Jharsuguda,,,Only salary is good ..,"No work life balance, 6 day working, employee friendly policies not there, amenities very poor, accommodation provided to freshers is very poor.",Show more
3,19-Jan-24,Good Company,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW83521337.htm,Department head,"Current employee, more than 8 years","Gurgaon, Haryana",,,"Good Company , Lot of opportunities for growing","Tough Culture, Lot of intervention from promoters",Show more
3,27-Jan-24,Hood,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW83795277.htm,Project and operations manager,"Current employee, more than 10 years",Jharsuguda,,,Good starting salary and growth is less,Work life balance is not good,Show more
3,26-Jan-24,procurement of supplies and contracts,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW83756357.htm,Procurement manager,"Current employee, less than 1 year",Bhubaneshwar,,,"good working culture, good company policies","work life balance, benefits, work pressure",Show more
2,16-Jan-24,Average experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW83411924.htm,Mining engineer,"Former employee, more than 5 years",Agucha,,,A person learns a lot of people skills and confidence while dealing with people from different backgrounds,Salary is meagre for an engineer at entry level.,Show more
4,26-Jan-24,Nice company,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW83754280.htm,Deputy manager,"Current employee, more than 3 years",Korba,Great opportunities to work in the company,Most of the work in remote location,,,
3,25-Jan-24,Worked as maintenance engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW83746900.htm,Graduate engineer trainee,"Former employee, more than 1 year",Lanjigarh,Good pay and low pressure job,Safety standards are poor and high politics,,,
4,03-Nov-23,Growth driven environment with poor work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW81533049.htm,Assistant manager ( production planning control),Current employee,,,,I appreciate the professional growth and skill enhancement . One can smoothly transition their role according to their skillset. Time to time bonus and incentives .,"The work culture is far from ideal. With ever increasing attrition rate day by day, the work load gets unevenly distributed on existing workforce . Some of the locations are very remote which adds to the ordeal for the employee.",Show more
1,22-Feb-24,Worked in PSCM department,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW84643331.htm,Associate manager,"Current employee, more than 1 year",Bārmer,,,The financial benefits at the beginning of the job.,"No proper training
Office culture is toxic and demotivating",Show more
4,07-Dec-23,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW82407648.htm,Engineer,"Current employee, more than 1 year","Udaipur, Tripura",Good place to work into,Problem in locaction and connectivity,,,
4,09-Nov-23,Management Trainee for Marketing,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW81702308.htm,Management trainee,"Former employee, more than 1 year",New Delhi,#NAME?,- 6 day work - HR policies and employees not at par,,,
5,18-Nov-23,IT MEANS BETTER BETTER,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW81917999.htm,Engineer,"Current employee, more than 1 year",Bārmer,good for making money in intial,not good for pleasent future,,,
3,22-Sep-23,Exponential growth in knowledge,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW80329923.htm,Assistant manager,"Former employee, more than 3 years",Jharsuguda,,,"In Vedanta Ltd., new joiners are given important portfolios to handle which increases the knowledge of any individual drastically.","Difficult to maintain work-life balance, as the environment is engineering heavy so the responsible person has to be always present on site in case of any exigencies.",Show more
2,03-Nov-23,Not recommended,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW81532749.htm,Assistant manager,"Former employee, more than 1 year",Korba,Competitive pay for the recent graduates,No work life balance Not enough manpower,,,
4,12-Oct-23,Nice pay for beginners and lucky to get high increments,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-RVW80881760.htm,Deputy manager - finance,"Current employee, more than 5 years",New Delhi,Listed company Internal Job Posting Job Security,Biased Increment Management politics do exist,,,
