"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","21 Jul 2024","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW89355929.htm","Quality assurance","Current employee","Haryāna","Money, power, ambition,money money money","Money money money money money","","",""
"5.0","2 Oct 2024","Wonderful Time@Zomato","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW91576292.htm","Asm (area sales manager)","Former employee, more than 5 years","New Delhi","","","- lovely team to work with 
- Understanding managers 
- flexibility to finish tasks basis timelines","- inter-team communication can be better","Show more"
"2.0","26 Jun 2024","Toxic culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW88630713.htm","Key account manager (kam)","Current employee, more than 1 year","Ahmedabad","","","- Good leave policies
- Connecting the higher management is easier","- Micro management is at its core, you would feel like a school
- Very TOXIC enviornment
- Managers are very biased and zero job security. The day your manager feels to kick you, then you are gone 
- Zero HR interventions, the don't care about what's going on in the city, my manager has team of 15 KAM's and in last one year almost 15-17 people have joined and left the job. Their no count or analysis in terms of attrition. 
- Managers will threat you for working after hours, they will threat you to work on Saturdays. The irony is you come to know about working Saturdays 12-14 hours prior which is Friday evening. So you can never make any plans. 
- The CEO is publishing the books about culture but i guess he is totally unaware about the ground realities in current scenarios. 
- I personally feel the culture has almost turned like Byjus and the things are going worst day by day.","Show more"
"3.0","30 Sept 2024","Not so good","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW91502790.htm","Design intern","Former intern","Gurgaon, Haryana","Great people to work with, good environment and facilities","Toxic in terms of so many people are afraid of loosing jobs and not satisfied with the work they do","","",""
"4.0","29 Sept 2024","The whole vibe is 😎","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW91448624.htm","Marketing intern","Former intern, less than 1 year","Lucknow","","","You will get flexible hours 
And other insurance benefits and the best part is the people who work there are great 👍","They could pay little more but everything else is great 👍","Show more"
"3.0","2 Oct 2024","Senior Business analyst","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW91572792.htm","Senior business analyst","Former employee","Gurgaon, Haryana","Work life balance is sorted","No proper alignment in work","","",""
"4.0","1 Oct 2024","Brand Value","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW91539903.htm","Ad sales manager","Former employee","New Delhi","Zomato has become a great brand overall.","Working hours can take a toll on you.","","",""
"3.0","30 Sept 2024","toxic culture but good pay","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW91482524.htm","Sde 1","Former employee, more than 1 year","","good salary in zomato org.","culture is very toxic, not good","","",""
"3.0","30 Sept 2024","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW91502395.htm","Growth manager","Former employee, less than 1 year","Pune","Good pay for freshers, Friendly co-workers","Upper management is unkind, lack of empathy","","",""
"5.0","26 Sept 2024","City Accounts Intern - Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW91374241.htm","Intern","Former intern, less than 1 year","Calcutta","","","Fun work culture with a big learning curve","None at all because it was a really good experience","Show more"
