"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","27 Sept 2024","Great work place","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW91428510.htm","Executive production","Current employee, less than 1 year","Ahmedabad","HR policies are too good 
Bus Facility too good 
Good working culture","Drinking water facility not available during lunch","Show more","",""
"5.0","19 Sept 2024","Great Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW91154278.htm","Human resources manager","Current employee, more than 8 years","Ahmedabad","The collaborative spirit among departments has significantly enhancing productivity. It’s inspiring to see how everyone has come together to achieve common goals, fostering an environment of teamwork and support.
Additionally, the initiatives implemented till now have been taken very consciously which is getting impressive results. Organization focus on employee development and well-being is clearly paying off, as evidenced by increased engagement levels across the board.
I also want to acknowledge the leadership for their transparent communication. This openness has not only built trust but also encouraged employees to voice their ideas and concerns freely.","There are Some potential cons of working for an owner-driven company includes -Limited Diversity, Limited Financial Resources, Exclusions or limited opportunity to grow. 

But, in Zydus group, I Don't see such challenges, which makes company to GREAT PLACE TO WORK","Show more","",""
"4.0","1 Oct 2024","Good Company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW91535539.htm","Human resources business partner","Current employee, more than 5 years","Ahmedabad","","","","Good pay scale and Strong PMS system.","Need to improve in work life balance."
"5.0","26 Sept 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW91380031.htm","Technical assistant","Current employee, less than 1 year","Ahmedabad","In zydus every thing is good and very supportive colleagues are there","Canteen food is need to be changed","Show more","",""
"5.0","26 Sept 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW91381436.htm","Technical assistant","Current employee, less than 1 year","Ahmedabad","Every thing is good here","Traveling issues and canteen food is need to be changed","Show more","",""
"5.0","21 Sept 2024","I highly recommend to this organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW91213518.htm","Executive qa","Current employee","East District","Great environment to work and all employees are so helpful","Tranceportation to be improved
Induction training to be improved","Show more","",""
"5.0","24 Sept 2024","Good environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW91295222.htm","Qaulity assurance assistant manager","Current employee, more than 3 years","Ahmedabad","","","","Great compony ,Great future,Satisfactory, Good environment","Nothing as to a complain"
"5.0","21 Sept 2024","Great place to work.","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW91213552.htm","Officer","Current employee, less than 1 year","Gangtok","Working environment is very good.","Transportation is to be improved.","Show more","",""
"5.0","21 Sept 2024","Best Pharma","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW91213681.htm","Zydus pharmaceuticals","Current employee, more than 3 years","Pakyong","These is best pharmcutical organization","I want in joining pharmaceutical organization","Show more","",""
"5.0","21 Sept 2024","Good working culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW91213689.htm","Quality assurance apprentice","Current employee","","Discipline along with good working culture.
Quality oriented.","Every thing is good and implementing new things.","Show more","",""
