Company,Total_Reviews,Positive_Reviews,Employee_Satisfaction_Score
GAIL,389,377,9.69
ONGC,1323,1257,9.5
TITAN,1046,987,9.44
SIEMENS,3607,3399,9.42
HINDUNILVR,133,124,9.32
NTPC,1065,992,9.31
TATAMOTORS,4348,4026,9.26
SHREECEM,213,197,9.25
TATASTEEL,2249,2074,9.22
ICICIPRULI,4270,3934,9.21
LICI,791,728,9.2
IOC,1861,1711,9.19
ABB,1666,1530,9.18
PIDILITIND,708,647,9.14
ADANIPOWER,437,399,9.13
DRREDDY,1975,1802,9.12
POWERGRID,416,379,9.11
EICHERMOT,145,132,9.1
M&M,651,591,9.08
MARUTI,2605,2363,9.07
HEROMOTOCO,1549,1403,9.06
ZYDUSLIFE,912,824,9.04
BEL,1429,1292,9.04
DABUR,538,485,9.01
SRF,342,308,9.01
HINDALCO,515,464,9.01
INFY,35631,32121,9.01
ULTRACEMCO,934,840,8.99
ITC,3060,2747,8.98
BHARTIARTL,6262,5598,8.94
AMBUJACEM,303,270,8.91
HAL,948,845,8.91
MARICO,607,541,8.91
GRASIM,393,350,8.91
GODREJCP,336,299,8.9
RELIANCE,7082,6282,8.87
CIPLA,1582,1404,8.87
ASIANPAINT,2003,1777,8.87
NAUKRI,1911,1696,8.87
PNB,661,583,8.82
LT,8422,7422,8.81
TATAPOWER,728,640,8.79
TVSMOTOR,982,861,8.77
BAJAJ-AUTO,1205,1057,8.77
BPCL,1251,1097,8.77
WIPRO,36652,31951,8.72
ADANIPORTS,196,170,8.67
INDIGO,162,140,8.64
JINDALSTEL,667,575,8.62
ICICIBANK,12039,10372,8.62
